Genome.ID,Diseases.Infection.Wound,Host,Isolation,Country,Continent
2571042222,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Environmental,Colombia ,South America
2571042242,Eye/Ear Infection,Human,Eye,USA,North America
2571042301,Cystic Fibrosis,Human,Oral/Airways,Belgium,Europe
2571042302,Respiratory Issues/Infection,Human,Oral/Airways,USA,North America
2571042318,Wound,Human,Skin,USA,North America
2571042380,Not Applicable,Aquatic,Water,Colombia ,South America
2571042396,Respiratory Issues/Infection,Human,Oral/Airways,USA,North America
2571042424,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Industrial,India,Unknown
2571042490,Eye/Ear Infection,Human,Eye,USA,North America
2571042514,Eye/Ear Infection,Human,Eye,USA,North America
2571042519,Eye/Ear Infection,Human,Eye,USA,North America
2571042540,Unknown,Human,Unknown,Venezuela,South America
2571042564,Genitourinary system Infection/Issues,Human,Urogenital System,USA,North America
2571042625,Genitourinary system Infection/Issues,Human,Urogenital System,USA,North America
2571042644,Respiratory Issues/Infection,Human,Oral/Airways,USA,North America
2571042646,Wound,Human,Skin,USA,North America
2571042674,Respiratory Issues/Infection,Human,Oral/Airways,USA,North America
2571042676,Eye/Ear Infection,Human,Eye,India,Asia
2571042699,Eye/Ear Infection,Human,Eye,USA,North America
2571042745,Cystic Fibrosis,Human,Unknown,USA,North America
2571042769,Eye/Ear Infection,Human,Eye,USA,North America
2571042775,Circulatory System/Blood Disease/Issues,Human,Blood,India,Unknown
2571042807,Eye/Ear Infection,Human,Eye,USA,North America
2571042843,Not Applicable,Hospital Equipment,Unknown,unknown,Unknown
2571042854,Eye/Ear Infection,Human,Eye,USA,North America
2571042881,Respiratory Issues/Infection,Human,Oral/Airways,USA,North America
2571042900,Circulatory System/Blood Disease/Issues,Human,Blood,USA,North America
2571042902,Wound,Human,Skin,USA,North America
2574179764,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Rice/Fruit/Plant,India,Asia
2574179807,Unknown,Human,Unknown,,Unknown
2574179945,Unknown,Human,Unknown,,Unknown
2574179988,Associated Infection,Environmental (Plant/Fruit/Terrestrial/Other),Rice/Fruit/Plant,USA,North America
2574180006,Genitourinary system Infection/Issues,Human,Urogenital System,USA,North America
2574180050,Wound,Human,Skin,USA,North America
2574180090,Cystic Fibrosis,Human,Unknown,USA,North America
2574180126,Respiratory Issues/Infection,Human,Oral/Airways,USA,North America
2574180134,Unknown,Human,Unknown,,Unknown
2574180135,Eye/Ear Infection,Human,Eye,USA,North America
2574180151,Unknown,Human,Unknown,,Unknown
2574180171,Gastrointestinal system,Human,Gastrointestinal system,India,Asia
2574180211,Gastrointestinal system,Human,Gastrointestinal system,USA,North America
2574180290,Not Applicable,Aquatic,Water,Mexico,North America
2574180297,Unknown,Human,Unknown,,Unknown
2574180328,Eye/Ear Infection,Human,Eye,USA,North America
2576861003,Wound,Human,Skin,France,Europe
2576861022,Unknown,Human,Unknown,,Unknown
2576861056,Respiratory Issues/Infection,Human,Oral/Airways,USA,North America
2576861223,Not Applicable,Animal,Water,?,Unknown
2576861329,Genitourinary system Infection/Issues,Human,Urogenital System,USA,North America
2579778504,Wound,Human,Skin,USA,North America
2579778525,Respiratory Issues/Infection,Human,Oral/Airways,USA,North America
2579778540,Unknown,Human,Unknown,,Unknown
2579778545,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Rice/Fruit/Plant,Malaysia,Asia
2579778558,Unknown,Human,Unknown,,Unknown
2579778572,Not Applicable,Other - Engineered/Serotype/Unknown,Serotype,USA?,North America
2579778580,Cystic Fibrosis,Human,Unknown,USA,North America
2579778585,Eye/Ear Infection,Human,Unknown,USA,North America
2579778586,Eye/Ear Infection,Human,Eye,USA,North America
2579778594,Unknown,Human,Unknown,,Unknown
2579778617,Not Applicable,Other - Engineered/Serotype/Unknown,Serotype,USA,North America
2579778620,wound,Human,Skin,USA,North America
2579778632,Respiratory Issues/Infection,Human,Oral/Airways,USA,North America
2579778655,Eye/Ear Infection,Human,Eye,USA,North America
2579778687,Unknown,Human,Unknown,,Unknown
2579778688,Eye/Ear Infection,Human,Ear,USA,North America
2579778693,Respiratory Issues/Infection,Human,Oral/Airways,China,Asia
2579778696,Unknown,Human,Unknown,unknown,Unknown
2579778704,Not Applicable,Aquatic,Water,Colombia ,South America
2579778711,Unknown,Human,Unknown,,Unknown
2579778731,Eye/Ear Infection,Human,Eye,USA,North America
2579778733,Unknown,Human,Unknown,,Unknown
2579778739,Respiratory Issues/Infection,Human,Oral/Airways,USA,North America
2579778756,Wound,Human,Skin,USA,North America
2579778761,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Rice/Fruit/Plant,Mexico,North America
2579778766,Eye/Ear Infection,Human,Eye,India,Asia
2579778799,Genitourinary system Infection/Issues,Human,Unknown,USA,North America
2579778822,Genitourinary system Infection/Issues,Human,Urogenital System,USA,North America
2579778823,Genitourinary system Infection/Issues,Human,Urogenital System,USA,North America
2579778827,Eye/Ear Infection,Human,Eye,USA,North America
2579778838,Respiratory Issues/Infection,Human,Oral/Airways,USA,North America
2579778841,Not Applicable,Aquatic,Unknown,Colombia ,South America
2579778843,Respiratory Issues/Infection,Human,Oral/Airways,USA,North America
2579778853,Eye/Ear Infection,Human,Eye,USA,North America
2579778855,wound,Human,Skin,USA,North America
2579778860,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Soil,Malaysia,Asia
2579778868,Eye/Ear Infection,Human,Eye,USA,North America
2579778887,Respiratory Issues/Infection,Human,Oral/Airways,USA,North America
2579778897,Genitourinary system Infection/Issues,Human,Urogenital System,India,Unknown
2579778898,Not Applicable,Animal,Marine,Mexico,North America
2579778907,Cystic Fibrosis,Human,Unknown,USA,North America
2579778912,Respiratory Issues/Infection,Human,Oral/Airways,USA,North America
2579778915,Not Applicable,Aquatic,Water,Germany,Europe
2579778927,Eye/Ear Infection,Human,Eye,USA,North America
2579778948,Genitourinary system Infection/Issues,Human,Urogenital System,USA,North America
2579778950,Wound,Human,Skin,USA,North America
2579778953,Wound,Human,Skin,USA,North America
2579778965,Not Applicable,Aquatic,Water,indian ocean,Asia
2579778970,Wound,Human,Skin,France,Europe
2579778972,Circulatory System/Blood Disease/Issues,Human,Blood,USA,North America
2579778987,Eye/Ear Infection,Human,Eye,USA,North America
2579779000,Not Applicable,Aquatic,Marine,Malaysia,Asia
2579779017,Genitourinary system Infection/Issues,Human,Urogenital System,USA,North America
2579779027,Unknown,Human,Unknown,,Unknown
2579779047,Unknown,Human,Unknown,,Unknown
2579779057,Cystic Fibrosis,Human,Unknown,USA,North America
2579779059,Unknown,Human,Unknown,,Unknown
2579779063,Eye/Ear Infection,Human,Eye,USA,North America
2579779064,Eye/Ear Infection,Human,Eye,India,Asia
2579779066,Unknown,Human,Unknown,,Unknown
2579779074,Eye/Ear Infection,Human,Ear,USA,North America
2579779083,Not Applicable,Other - Engineered/Serotype/Unknown,Serotype,Japan?,Asia
2579779087,Respiratory Issues/Infection,Human,Oral/Airways,USA,North America
2579779091,Not Applicable,Aquatic,Water,USA,North America
2579779106,Circulatory System/Blood Disease/Issues,Human,Blood,USA,North America
2579779110,Unknown,Human,Unknown,,Unknown
2579779132,Genitourinary system Infection/Issues,Human,Urogenital System,USA,North America
2579779140,Genitourinary system Infection/Issues,Human,Urogenital System,USA,North America
2582580883,Eye/Ear Infection,Human,Eye,USA,North America
2582580893,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Unknown,?,Unknown
2582580894,Respiratory Issues/Infection,Human,Oral/Airways,USA,North America
2582580900,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Unknown,?,Unknown
2582580907,Unknown,Human,Unknown,USA,North America
2582580909,Wound,Human,Skin,USA,North America
2582580910,Genitourinary system Infection/Issues,Human,Urogenital System,USA,North America
2582580913,Unknown,Human,Unknown,,Unknown
2582580921,Unknown,Human,Unknown,,Unknown
2582580923,Unknown,Human,Unknown,,Unknown
2582580927,Unknown,Human,Unknown,,Unknown
2582580928,Unknown,Human,Unknown,,Unknown
2582580977,Genitourinary system Infection/Issues,Human,Urogenital System,USA,North America
2582580978,Genitourinary system Infection/Issues,Human,Urogenital System,USA,North America
2582580982,Genitourinary system Infection/Issues,Human,Urogenital System,USA,North America
2582580985,Unknown,Human,Unknown,,Unknown
2585427615,Associated Infection,Aquatic,Water,USA,North America
2585427671,Circulatory System/Blood Disease/Issues,Human,Blood,United Kingdom,Europe
2597489934,Circulatory System/Blood Disease/Issues,Human,Blood,India,Asia
2597489949,Cystic Fibrosis,Human,Unknown,,Unknown
2597489950,Cystic Fibrosis,Human,Oral/Airways,,Unknown
2597489951,Cystic Fibrosis,Human,Oral/Airways,?,Unknown
2597489954,Cystic Fibrosis,Human,Oral/Airways,"Canada,originally",North America
2597490142,Circulatory System/Blood Disease/Issues,Human,Blood,USA?,North America
2600255231,Cystic Fibrosis,Human,Oral/Airways,,Unknown
2606217733,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Soil,,Unknown
2609459787,Respiratory Issues/Infection,Human,Oral/Airways,?,Unknown
2609459869,Genitourinary system Infection/Issues,Human,Urogenital System,Germany?,Europe
2609459975,Unknown,Human,Unknown,Unknown,Unknown
2609460049,Circulatory System/Blood Disease/Issues,Human,Blood,Spain,Europe
2609460055,Wound,Human,Skin,USA,North America
2615840571,Cystic Fibrosis,Human,Oral/Airways,Canada,North America
2615840572,Cystic Fibrosis,Human,Oral/Airways,Canada,North America
2615840573,Cystic Fibrosis,Human,Oral/Airways,Canada,North America
2617271009,Eye/Ear Infection,Human,Eye,India,Asia
2617271040,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Soil,India,Asia
2617271249,Genitourinary system Infection/Issues,Human,Urogenital System,Brazil,South America
2617271286,Wound,Human,Skin,United Kingdom,Europe
2619619219,Cystic Fibrosis,Human,Oral/Airways,Denmark,Europe
2619619220,Cystic Fibrosis,Human,Oral/Airways,Denmark,Europe
2619619221,Cystic Fibrosis,Human,Oral/Airways,Denmark,Europe
2619619222,Cystic Fibrosis,Human,Oral/Airways,Denmark,Europe
2619619250,Genitourinary system Infection/Issues,Human,Urogenital System,USA,North America
2619619278,Eye/Ear Infection,Human,Eye,India,Asia
2627853747,Genitourinary system Infection/Issues,Human,Urogenital System,China,Asia
2627853842,Wound,Human,Skin,USA,North America
2627853942,Cystic Fibrosis,Human,Unknown,Brazil,South America
2627853962,Genitourinary system Infection/Issues,Human,Urogenital System,Japan,Asia
2627854093,Wound,Human,Skin,United Kingdom,Europe
2630968680,Cystic Fibrosis,Human,Oral/Airways,USA,North America
2636415941,Respiratory Issues/Infection,Human,Oral/Airways,?,Unknown
2636416113,Wound,Human,Skin,USA?,North America
2636416114,Not Applicable,Other - Engineered/Serotype/Unknown,Engineered,,Unknown
2639762801,Eye/Ear Infection,Human,Eye,India,Asia
2639762996,Unknown,Human,Unknown,Chile,South America
2639763011,Wound,Human,Skin,,Unknown
2639763030,Circulatory System/Blood Disease/Issues,Human,Blood,Malaysia,Asia
2645727511,Cystic Fibrosis,Human,Unknown,Australia,Unknown
2645727558,Wound,Human,Skin,Germany,Europe
2645727560,Cystic Fibrosis,Human,Blood,Spain,Europe
2645727567,Not Applicable,Animal,Unknown,Italy,Europe
2645727620,Genitourinary system Infection/Issues,Human,Urogenital System,Japan,Asia
2645727626,Cystic Fibrosis,Human,Unknown,Australia,Australia
2645727675,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Rice/Fruit/Plant,China,Asia
2645727884,Genitourinary system Infection/Issues,Human,Urogenital System,United Kingdom,Europe
2645728003,Not Applicable,Other - Engineered/Serotype/Unknown,Clinical - Unknown Further Info,?,?
2645728046,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Soil,Japan,Asia
2648501267,Unknown,Human,Unknown,Argentina,South America
2648501304,Cystic Fibrosis,Human,Unknown,Australia,Australia
2648501374,Wound,Human,Unknown,USA,North America
2648501394,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Eye,USA,North America
2648501792,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Soil,Kazakhstan,Asia
2648501891,Wound,Human,Skin,Romania,Europe
2651869646,Cystic Fibrosis,Human,Oral/Airways,USA,North America
2654587563,Genitourinary system Infection/Issues,Human,Urogenital System,United Kingdom,Europe
2654587699,Not Applicable,Aquatic,Unknown,Malaysia,Asia
2654587704,Eye/Ear Infection,Human,Eye,India,Asia
2654587800,Cystic Fibrosis,Human,Unknown,Australia,Australia
2657245007,Cystic Fibrosis,Human,Oral/Airways,Canada,North America
2657245489,Not Applicable,Other - Engineered/Serotype/Unknown,Serotype,,Unknown
2657245673,Cystic Fibrosis,Human,Oral/Airways,Canada,North America
2657245692,Not Applicable,Other - Engineered/Serotype/Unknown,Serotype,,Unknown
2660237944,Cystic Fibrosis,Human,Unknown,maybe Canada?,North America
2660238002,Cystic Fibrosis,Human,Unknown,Canada,North America
2660238005,Not Applicable,Other - Engineered/Serotype/Unknown,Serotype,,Unknown
2660238192,Cystic Fibrosis,Human,Oral/Airways,Canada,North America
2660238266,Infection - Other,Human,Unknown,USA,North America
2660238384,Respiratory Issues/Infection,Human,Oral/Airways,USA,North America
2660238658,Cystic Fibrosis,Human,Oral/Airways,Canada,North America
2660238666,Not Applicable,Other - Engineered/Serotype/Unknown,Serotype,,Unknown
2660238684,Not Applicable,Other - Engineered/Serotype/Unknown,Serotype,,Unknown
2660238714,Not Applicable,Other - Engineered/Serotype/Unknown,Serotype,,Unknown
2663762977,Cystic Fibrosis,Human,Oral/Airways,Canada,North America
2663763064,Cystic Fibrosis,Human,Unknown,maybe Canada?,North America
2663763067,Cystic Fibrosis,Human,Oral/Airways,Canada,North America
2663763191,Infection - Other,Human,Unknown,USA,North America
2663763194,Cystic Fibrosis,Human,Oral/Airways,United Kingdom,Europe
2663763493,Not Applicable,Other - Engineered/Serotype/Unknown,Serotype,,Unknown
2663763518,Cystic Fibrosis,Human,Oral/Airways,maybe Canada?,North America
2667527464,Not Applicable,Other - Engineered/Serotype/Unknown,Serotype,Czech Republic,Europe
2667527556,Cystic Fibrosis,Human,Oral/Airways,Australia,Australia
2667527606,Cystic Fibrosis,Human,Unknown,Canada,North America
2667527692,Cystic Fibrosis,Human,Oral/Airways,Canada,North America
2667527790,Cystic Fibrosis,Human,Oral/Airways,Canada,North America
2667527795,Cystic Fibrosis,Human,Oral/Airways,United Kingdom,Europe
2667527847,Respiratory Issues/Infection,Human,Oral/Airways,,Unknown
2667527901,Cystic Fibrosis,Human,Unknown,Canada,North America
2667528033,Not Applicable,Other - Engineered/Serotype/Unknown,Serotype,,Unknown
2667528072,Not Applicable,Other - Engineered/Serotype/Unknown,Serotype,,Unknown
2671180317,Not Applicable,Other - Engineered/Serotype/Unknown,Serotype,,Unknown
2671180318,Cancer,Human,Unknown,USA,North America
2671180382,Respiratory Issues/Infection,Human,Oral/Airways,United Kingdom,Europe
2671180397,Genitourinary system Infection/Issues,Human,Urogenital System,United Kingdom,Europe
2671180414,Circulatory System/Blood Disease/Issues,Human,Blood,United Kingdom,Europe
2671180440,Unknown,Human,Unknown,Netherlands,Europe
2671180445,Circulatory System/Blood Disease/Issues,Human,Oral/Airways,United Kingdom,Europe
2671180478,Unknown,Human,Unknown,United Kingdom,Europe
2671180484,Genitourinary system Infection/Issues,Human,Urogenital System,United Kingdom,Europe
2671180515,Not Applicable,Hospital Equipment,Unknown,United Kingdom,Europe
2671180558,Not Applicable,Other - Engineered/Serotype/Unknown,Serotype,,Unknown
2671180560,Circulatory System/Blood Disease/Issues,Human,Blood,United Kingdom,Europe
2671180611,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Rice/Fruit/Plant,USA,North America
2671180678,Cystic Fibrosis,Human,Oral/Airways,United Kingdom,Europe
2671180708,Wound,Human,Skin,United Kingdom,Europe
2671180760,Bone Related,Human,Gastrointestinal system,United Kingdom,Europe
2671180784,Cancer,Human,Unknown,USA,North America
2671180811,Wound,Human,Skin,United Kingdom,Europe
2671180825,Wound,Human,Skin,United Kingdom,Europe
2671180829,Wound,Human,Skin,United Kingdom,Europe
2671180937,Respiratory Issues/Infection,Human,Oral/Airways,United Kingdom,Europe
2671180955,Not Applicable,Other - Engineered/Serotype/Unknown,Serotype,,Unknown
2671181014,Cystic Fibrosis,Human,Unknown,Canada,North America
2671181021,Wound,Human,Unknown,United Kingdom,Europe
2671181088,Not Applicable,Hospital Equipment,Unknown,United Kingdom,Europe
2671181129,Cystic Fibrosis,Human,Unknown,Canada,North America
2671181137,Not Applicable,Hospital Equipment,Unknown,United Kingdom,Europe
2671181149,Wound,Human,Skin,United Kingdom,Europe
2675903282,Eye/Ear Infection,Human,Ear,Australia,Australia
2675903353,Genitourinary system Infection/Issues,Human,Urogenital System,United Kingdom,Europe
2675903363,Cystic Fibrosis,Human,Oral/Airways,United Kingdom,Europe
2675903378,Not Applicable,Hospital Equipment,Plug Hole/Sink,United Kingdom,Europe
2675903450,Genitourinary system Infection/Issues,Human,Urogenital System,United Kingdom,Europe
2675903518,Wound,Human,Skin,USA,North America
2675903566,Genitourinary system Infection/Issues,Human,Urogenital System,India,Asia
2675903567,Cystic Fibrosis,Human,Unknown,Canada,North America
2675903584,Respiratory Issues/Infection,Human,Oral/Airways,United Kingdom,Europe
2675903669,Circulatory System/Blood Disease/Issues,Human,Blood,United Kingdom,Europe
2675903677,Gastrointestinal system,Human,Gastrointestinal system,United Kingdom,Europe
2675903679,Cystic Fibrosis,Human,Oral/Airways,Canada,North America
2681813165,Cystic Fibrosis,Human,Oral/Airways,Canada,North America
2681813354,Not Applicable,Hospital Equipment,unknown,United Kingdom,Europe
2681813355,Not Applicable,Hospital Equipment,Plug Hole/Sink,United Kingdom,Europe
2681813356,Respiratory Issues/Infection,Human,Oral/Airways,United Kingdom,Europe
2681813357,Circulatory System/Blood Disease/Issues,Human,Oral/Airways,United Kingdom,Europe
2681813358,Respiratory Issues/Infection,Human,Oral/Airways,United Kingdom,Europe
2681813362,Gastrointestinal system,Human,Gastrointestinal system,Colombia ,South America
2684622547,Gastrointestinal system,Human,Unknown,USA,North America
2684622643,Not Applicable,Aquatic,Water,China,Asia
2684622752,Not Applicable,Industial ,Unknown,,Unknown
2684622753,Not Applicable,Industial ,Unknown,,Unknown
2684622754,Not Applicable,Industial ,Unknown,,Unknown
2684622755,Not Applicable,Industial ,Unknown,,Unknown
2684622756,Not Applicable,Industial ,Unknown,,Unknown
2684622757,Not Applicable,Industial ,Unknown,,Unknown
2684622758,Not Applicable,Industial ,Unknown,,Unknown
2684622759,Not Applicable,Industial ,Unknown,,Unknown
2684622760,Not Applicable,Industial ,Unknown,,Unknown
2684622761,Not Applicable,Industial ,Unknown,,Unknown
2684622762,Not Applicable,Industial ,Unknown,,Unknown
2684622809,Cystic Fibrosis,Human,Oral/Airways,USA,North America
2684622810,Cystic Fibrosis,Human,Oral/Airways,USA,North America
2684622811,Cystic Fibrosis,Human,Oral/Airways,USA,North America
2684622812,Cystic Fibrosis,Human,Oral/Airways,USA,North America
2684622813,Cystic Fibrosis,Human,Oral/Airways,USA,North America
2684622814,Cystic Fibrosis,Human,Oral/Airways,USA,North America
2684622815,Cystic Fibrosis,Human,Oral/Airways,USA,North America
2684622816,Cystic Fibrosis,Human,Oral/Airways,USA,North America
2684623051,Cancer,Human,Unknown,USA,North America
2684623070,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Soil,China,Asia
2684623148,Cancer,Human,Unknown,USA,North America
2684623234,Cancer,Human,Gastrointestinal system,USA,North America
2684623235,Circulatory System/Blood Disease/Issues,Human,Blood,?,Unknown
2687453104,Cancer,Human,Unknown,USA,North America
2687453120,Cancer,Human,Unknown,USA,North America
2687453218,Infection - Other,Human,Unknown,Netherlands,Europe
2687453225,Genitourinary system Infection/Issues,Human,Urogenital System,Japan,Asia
2687453227,Cancer,Human,Unknown,USA,North America
2687453261,Cancer,Human,Unknown,,Unknown
2687453262,Cancer,Human,Unknown,USA,North America
2687453263,Cancer,Human,Unknown,USA,North America
2687453307,Not Applicable,Animal,Cow,USA,North America
2687453349,Gastrointestinal system,Human,Gastrointestinal system,Japan,Asia
2687453356,Gastrointestinal system,Human,Skin,?,Unknown
